Text,label
Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),ham
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
Send me yetty's number pls.,ham
Hey so this sat are we going for the intro pilates only? Or the kickboxing too? ,ham
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,ham
Hey we can go jazz power yoga hip hop kb and yogasana ,ham
Hey mate. Spoke to the mag people. We‰Û÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,ham
Morning only i can ok.,ham
Wat time Ì_ finish?,ham
Shant disturb u anymore... Jia you...,ham
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,spam
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,spam
"MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night",ham
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
Unless it's a situation where YOU GO GURL would be more appropriate,ham
Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,ham
Bring tat cd don forget,ham
"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",ham
Jay's getting really impatient and belligerent,ham
Lol they were mad at first but then they woke up and gave in.,ham
